date,value
2019-05-09,1716
2019-05-10,5577
2019-05-11,2102
2019-05-12,1434
2019-05-13,2108
2019-05-14,3053
2019-05-15,5150
2019-05-16,526
2019-05-17,4574
2019-05-18,2332
2019-05-19,2572
2019-05-20,2219
2019-05-21,3873
2019-05-22,2975
2019-05-23,1211
2019-05-24,7681
2019-05-25,6730
2019-05-26,5696
2019-05-27,907
2019-05-28,4215
2019-05-29,2030
2019-05-30,2271
2019-05-31,2852
2019-06-01,3134
2019-06-02,1183
2019-06-03,3372
2019-06-04,2478
2019-06-05,11085
2019-06-06,5130
2019-06-07,14428
2019-06-08,439
2019-06-09,2366
2019-06-10,3724
2019-06-11,6558
2019-06-12,3362
2019-06-13,5380
2019-06-14,3417
2019-06-15,5408
2019-06-16,966
2019-06-17,3180
2019-06-18,4547
2019-06-19,3928
2019-06-20,962
2019-06-21,5903
2019-06-22,5934
2019-06-23,1160
2019-06-24,2138
2019-06-25,1684
2019-06-26,5558
2019-06-27,716
2019-06-28,4094
2019-06-29,271
2019-06-30,1978
2019-07-01,2574
2019-07-02,3750
2019-07-03,1200
2019-07-04,299
2019-07-05,2435
2019-07-06,4730
2019-07-07,420
2019-07-08,589
2019-07-09,764
2019-07-10,1095
2019-07-11,474
2019-07-12,297
2019-07-13,268
2019-07-14,806
2019-07-15,2470
2019-07-16,558.9472958
2019-07-17,4759.052704
2019-07-18,788
2019-07-19,1416
2019-07-20,567
2019-07-21,1411
2019-07-22,3129
2019-07-23,6528
2019-07-24,3869
2019-07-25,979
2019-07-26,4484
2019-07-27,166
2019-07-28,1485
2019-07-29,6465
2019-07-30,2148
2019-07-31,4948
2019-08-01,963
2019-08-02,2760
2019-08-03,992
2019-08-04,2990
2019-08-05,1440
2019-08-06,3037
2019-08-07,2566
2019-08-08,1413
2019-08-09,3342
2019-08-10,3486
2019-08-11,1740
2019-08-12,3955
2019-08-13,2159
2019-08-14,7018
2019-08-15,1362
2019-08-16,416
2019-08-17,2212
2019-08-18,1374
2019-08-19,3787
2019-08-20,2235
2019-08-21,4755
2019-08-22,2260
2019-08-23,4116
2019-08-24,147
2019-08-25,723
2019-08-26,3071
2019-08-27,3858
2019-08-28,558
2019-08-29,4639
2019-08-30,1569
2019-08-31,5973
2019-09-01,218
2019-09-02,608
2019-09-03,2902
2019-09-04,5253
2019-09-05,3357
2019-09-06,8795
2019-09-07,2468
2019-09-08,3216
2019-09-09,5682
2019-09-10,3136
2019-09-11,3378
2019-09-12,4205
2019-09-13,3651
2019-09-14,2740
2019-09-15,1478
2019-09-16,5244
2019-09-17,4031
2019-09-18,1696
2019-09-19,1167
2019-09-20,4437
2019-09-21,569
2019-09-22,1368
2019-09-23,2180
2019-09-24,10672
2019-09-25,8738
2019-09-26,8888
2019-09-27,4862
2019-09-28,2730
2019-09-29,3481
2019-09-30,928
2019-10-01,1696
2019-10-02,4268
2019-10-03,772
2019-10-04,4528
2019-10-05,1123
2019-10-06,949
2019-10-07,4195
2019-10-08,6300
2019-10-09,948
2019-10-10,4447
2019-10-11,2099
2019-10-12,1189
2019-10-13,3077
2019-10-14,1544
2019-10-15,3701
2019-10-16,2587
2019-10-17,4830
2019-10-18,7261
2019-10-19,8812
2019-10-20,1172
2019-10-21,2892
2019-10-22,2180
2019-10-23,8648
2019-10-24,2984
2019-10-25,3526
2019-10-26,1231
2019-10-27,2473
2019-10-28,6415
2019-10-29,2741
2019-10-30,1786
2019-10-31,2538
2019-11-01,3890
2019-11-02,352
2019-11-03,4910
2019-11-04,3755
2019-11-05,4566
2019-11-06,2251
2019-11-07,3846
2019-11-08,4004
2019-11-09,3674
2019-11-10,1845
2019-11-11,2945
2019-11-12,2314
2019-11-13,2786
2019-11-14,3740
2019-11-15,6056
2019-11-16,1797
2019-11-17,1192
2019-11-18,3738
2019-11-19,4087
2019-11-20,3290
2019-11-21,4414
2019-11-22,4891
2019-11-23,1893
2019-11-24,3921
2019-11-25,4520
2019-11-26,3286
2019-11-27,4562
2019-11-28,775
2019-11-29,7324
2019-11-30,3695
2019-12-01,5111
2019-12-02,3214
2019-12-03,2782
2019-12-04,2977
2019-12-05,5472
2019-12-06,10785
2019-12-07,483
2019-12-08,1012
2019-12-09,3730
2019-12-10,2707
2019-12-11,2681
2019-12-12,1570
2019-12-13,1352
2019-12-14,454
2019-12-15,4263
2019-12-16,2414
2019-12-17,4827
2019-12-18,2952
2019-12-19,3160
2019-12-20,5356
2019-12-21,966
2019-12-22,6356
2019-12-23,4241
2019-12-24,4582
2019-12-25,1264
2019-12-26,2403
2019-12-27,794
2019-12-28,7425
2019-12-29,394
2019-12-30,2959
2019-12-31,1488
2020-01-01,3593
2020-01-02,834
2020-01-03,2467
2020-01-04,1469
2020-01-05,4116
2020-01-06,3565
2020-01-07,5223
2020-01-08,4192
2020-01-09,3948
2020-01-10,10392.17119
2020-01-11,6748.828813
2020-01-12,2889
2020-01-13,5374
2020-01-14,4428
2020-01-15,3972
2020-01-16,1690
2020-01-17,5300
2020-01-18,832
2020-01-19,2659
2020-01-20,1724
2020-01-21,502
2020-01-22,6989
2020-01-23,2397
2020-01-24,2648
2020-01-25,8320
2020-01-26,3638
2020-01-27,4614
2020-01-28,1578
2020-01-29,4189
2020-01-30,1684
2020-01-31,7518
2020-02-01,5735
2020-02-02,5431
2020-02-03,4055
2020-02-04,8931
2020-02-05,3407
2020-02-06,4065
2020-02-07,5917
2020-02-08,2774
2020-02-09,3234
2020-02-10,6503
2020-02-11,5287
2020-02-12,3590
2020-02-13,1414
2020-02-14,2712
2020-02-15,770
2020-02-16,7299
2020-02-17,3885
2020-02-18,1705
2020-02-19,3738
2020-02-20,1281
2020-02-21,5922
2020-02-22,948
2020-02-23,2218
2020-02-24,4429
2020-02-25,3786
2020-02-26,3535
2020-02-27,3172
2020-02-28,3049
2020-02-29,11418
2020-03-01,8145
2020-03-02,15357
2020-03-03,4526
2020-03-04,1248
2020-03-05,3660
2020-03-06,5455
2020-03-07,7857
2020-03-08,2323
2020-03-09,3651
2020-03-10,5632
2020-03-11,4769
2020-03-12,4400
2020-03-13,5189
2020-03-14,7131
2020-03-15,7480
2020-03-16,3501
2020-03-17,5423
2020-03-18,4079
2020-03-19,4259
2020-03-20,7127
2020-03-21,174
